,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
80,-999.0,-999,2,2,1743,22.6,0.1999999999999993,-999.0,0.0,-11.27,162.15,7.6,11,15,6,5,0,0,0,0,2014-04-12T20:14:38.399996Z,11.898323418519292,-999.0
81,-999.0,-999,1,1,1768,16.6,1.1000000000000005,-999.0,2.0,55.1,164.7,7.2,3,4,4,3,0,2,2,0,2018-12-20T17:01:58.080001Z,1.0849517196182914,-999.0
82,-999.0,-999,-1,-1,1776,14.1,2.6000000000000005,-999.0,1.0,56.0,-149.17,7.9,1,2,0,0,0,0,0,0,2018-01-23T09:31:40.800000Z,inf,-999.0
83,-999.0,-999,1,1,1793,47.4,2.3999999999999995,-999.0,0.0,15.02,-93.9,8.2,9,10,0,0,0,0,0,0,2017-09-08T04:49:17.760005Z,0.19793139697761372,-999.0
84,-999.0,-999,1,1,1812,25.2,0.7999999999999998,-999.0,3.0,-6.07,142.75,7.5,11,11,6,6,0,0,0,0,2018-02-25T17:44:44.159997Z,0.27867432092149524,-999.0
85,0.6996492635769496,-999,1,1,1818,24.0,0.8000000000000007,1.5,3.0,-10.8,165.11,7.9,41,50,16,13,13,21,7,5,2013-02-06T01:12:25.920000Z,0.9897835029654525,2.2349826359411384
86,-999.0,-999,1,1,1830,22.0,1.2000000000000002,-999.0,3.0,16.42,-97.96,7.2,3,3,3,3,0,2,2,0,2018-02-16T23:39:41.759997Z,1.3250883392422381,-999.0
87,-999.0,-999,2,2,1893,25.0,0.39999999999999947,1.3999999999999995,3.0,-19.61,-70.77,8.1,23,32,6,6,14,19,4,4,2014-04-01T23:46:45.120003Z,0.5067854160387987,1.7232678081231594
88,-999.0,-999,1,1,1898,10.0,0.7999999999999998,0.7999999999999998,1.0,-21.95,169.43,7.5,7,12,7,3,8,17,10,5,2018-12-05T04:18:11.519997Z,0.1496135695232223,7.706386667912348
89,-999.0,-999,1,1,1906,22.4,1.200000000000001,2.8000000000000007,3.0,-31.57,-71.67,8.3,13,17,3,3,1,1,0,0,2015-09-16T22:54:28.799999Z,0.5166048727748382,inf
90,-999.0,-999,1,1,1932,46.0,0.7999999999999998,-999.0,0.0,-30.64,-178.1,7.3,5,7,5,3,0,18,12,0,2019-06-15T22:55:03.360001Z,0.24540118185220622,-999.0
91,-999.0,-999,5,2,1942,43.4,1.2999999999999998,0.40000000000000036,3.0,-6.76,155.02,7.5,17,27,11,7,11,29,18,9,2014-04-19T13:27:59.040004Z,0.31526260447764004,0.23292352908784122
92,-999.0,-999,1,1,1951,40.0,0.8999999999999995,-999.0,2.0,-10.68,161.32,7.8,26,30,11,10,0,0,0,0,2016-12-08T17:38:49.919995Z,0.6183497671686613,-999.0
93,-999.0,-999,-1,-1,1953,19.4,1.9000000000000004,-999.0,3.0,-0.59,128.03,7.2,1,2,2,1,0,0,0,0,2019-07-14T09:10:47.999995Z,inf,-999.0
94,-999.0,-999,1,1,1960,41.0,1.5,-999.0,0.0,-4.73,152.56,7.5,3,3,3,3,0,1,0,0,2015-03-29T23:48:28.800007Z,0.056284544639316016,-999.0
95,-999.0,-999,1,1,1961,55.0,1.5,0.7999999999999998,2.0,-5.46,151.88,7.5,8,11,3,3,7,12,5,4,2015-05-05T01:44:06.720000Z,0.14335042189824682,1.7986997969870064
96,-999.0,-999,1,1,1983,16.0,0.7000000000000002,-999.0,0.0,50.04,87.81,7.3,3,3,2,2,0,0,0,0,2003-09-27T11:33:21.599999Z,0.059666108457190475,-999.0
97,-999.0,-999,1,1,1997,33.0,1.9000000000000004,-999.0,2.0,0.72,119.98,7.9,5,14,4,1,0,0,0,0,1996-01-01T08:05:08.160000Z,0.13741662246437886,-999.0
98,-999.0,-999,1,1,2008,27.0,1.0000000000000009,-999.0,1.0,41.81,143.91,8.3,18,24,3,3,0,3,0,0,2003-09-25T19:50:09.599997Z,0.9653182600713607,-999.0
99,-999.0,-999,1,1,2022,30.0,0.9000000000000004,-999.0,0.0,2.82,96.08,7.2,3,3,3,3,0,0,0,0,2002-11-02T01:26:06.720004Z,0.1080532053982236,-999.0
100,-999.0,-999,-1,-1,2025,10.0,-999.0,-999.0,2.0,-2.6,68.38,7.5,0,0,0,0,0,1,0,0,2003-07-15T20:27:53.280004Z,-999.0,-999.0
101,-999.0,-999,-1,-1,2037,10.0,2.3,-999.0,0.0,-60.53,-43.41,7.6,2,2,0,0,0,0,0,0,2003-08-04T04:37:20.639996Z,0.2083463549816435,-999.0
102,-999.0,-999,1,1,2060,10.0,3.2,-999.0,1.0,3.3,95.78,9.0,6,19,1,0,0,0,0,0,2004-12-26T00:58:53.760002Z,0.9898539965432674,-999.0
103,-999.0,-999,1,1,2081,22.1,1.6000000000000005,1.3000000000000007,3.0,44.62,149.32,7.9,9,14,5,5,6,10,6,4,1995-12-03T18:01:09.120003Z,0.16104702036161284,0.6815625958515322
104,-999.0,-999,5,0,2089,10.0,0.5999999999999996,0.2999999999999998,0.0,-4.0,135.02,7.3,6,15,13,5,2,4,4,2,2004-02-07T02:42:34.559996Z,2.06753962784154,149.25373073747787
105,-999.0,-999,1,1,2096,16.0,1.6000000000000005,-999.0,0.0,7.92,92.19,7.2,3,5,5,3,0,3,3,0,2005-07-24T15:42:02.879999Z,0.05944961546002085,-999.0
106,-999.0,-999,1,1,2100,10.0,2.0999999999999996,1.9000000000000004,1.0,-8.15,124.87,7.5,6,7,1,0,1,1,1,1,2004-11-11T21:26:38.400001Z,0.19278223318991883,inf
107,-999.0,-999,1,1,2121,16.0,1.2999999999999998,2.1000000000000005,3.0,-5.81,154.21,7.7,7,24,14,4,1,15,9,0,1995-08-16T10:27:24.480003Z,0.11893919828177509,inf
108,-999.0,-999,1,1,2130,33.0,2.1000000000000005,1.4000000000000004,3.0,51.56,-177.63,7.9,4,15,3,0,4,13,5,1,1996-06-10T04:03:38.880000Z,0.7812652590974091,0.08203916549762078
109,-999.0,-999,1,1,2176,33.0,1.0999999999999996,-999.0,0.0,23.77,120.98,7.6,9,13,6,4,0,1,1,0,1999-09-20T17:47:19.680004Z,0.3242098286010728,-999.0
110,-999.0,-999,1,1,2227,13.0,1.5,2.1999999999999993,0.0,-3.3,142.95,7.6,5,6,3,3,1,4,2,0,2002-09-08T18:44:21.119996Z,0.15267268807752873,inf
111,-999.0,-999,1,1,2236,33.0,1.0999999999999996,2.5,3.0,-5.5,151.78,7.8,4,5,4,4,1,9,3,0,2000-11-17T21:01:52.320000Z,1.1616425625478646,inf
112,-999.0,-999,-1,-1,2256,33.0,2.2,-999.0,1.0,22.31,125.31,7.4,1,1,0,0,0,0,0,0,1998-05-03T23:30:20.159996Z,inf,-999.0
113,-999.0,-999,1,1,2258,33.0,1.2000000000000002,-999.0,3.0,-4.72,102.09,7.9,17,29,5,3,0,2,0,0,2000-06-04T16:28:24.960001Z,0.3442215328785701,-999.0
114,-999.0,-999,1,1,2267,33.0,2.1999999999999993,2.3,3.0,-17.54,-72.08,7.6,1,2,0,0,2,3,1,0,2001-07-07T09:38:44.160005Z,inf,0.548606539382858
115,-999.0,-999,1,-1,2268,33.0,1.9000000000000004,-999.0,3.0,-16.26,-73.64,8.4,2,5,1,1,0,0,0,0,2001-06-23T20:33:12.960004Z,0.9809210848779298,-999.0
116,-999.0,-999,1,1,2277,21.0,0.6000000000000005,1.1000000000000005,3.0,-17.6,167.86,7.2,12,31,31,12,1,7,7,1,2002-01-02T17:22:50.880005Z,0.2732962257793921,inf
117,0.9465392554301657,-999,1,1,2284,30.0,1.2000000000000002,-999.0,3.0,-5.23,153.1,7.8,34,48,14,10,0,11,4,0,2000-11-16T07:42:14.400000Z,0.8022822570577776,-999.0
118,-999.0,-999,1,-1,2296,6.0,1.7999999999999998,-999.0,0.0,32.3,-115.27,7.2,1,1,1,1,0,2,2,0,2010-04-04T22:40:39.360000Z,inf,-999.0
119,-999.0,-999,1,1,2301,12.0,1.7000000000000002,-999.0,0.0,-45.76,166.56,7.8,3,3,1,1,0,0,0,0,2009-07-15T09:22:27.840004Z,0.15725001179347914,-999.0
120,-999.0,-999,2,2,2308,45.0,0.1999999999999993,-999.0,3.0,-13.01,166.51,7.6,7,9,7,6,0,0,0,0,2009-10-07T22:03:12.960004Z,0.7301782678096471,-999.0
121,-999.0,-999,1,1,2317,18.0,2.0999999999999996,-999.0,3.0,-15.49,-172.1,8.1,3,3,0,0,0,1,0,0,2009-09-29T17:48:11.519997Z,0.08906940287869453,-999.0
122,-999.0,-999,1,1,2321,34.0,0.7999999999999998,0.5,1.0,14.73,-92.68,7.2,6,7,7,6,5,8,8,5,1993-09-10T19:12:51.839996Z,0.19942167713669362,0.6531934628336886
123,-999.0,-999,2,2,2362,17.0,0.2999999999999998,-999.0,0.0,-0.41,132.88,7.7,12,17,6,4,0,0,0,0,2009-01-03T19:43:49.439999Z,0.24677952717008847,-999.0
124,-999.0,-999,1,1,2372,14.0,1.0,-999.0,3.0,26.9,143.7,7.4,7,7,5,5,0,0,0,0,2010-12-21T17:19:40.800006Z,0.334317181037928,-999.0
125,-999.0,-999,-1,-1,2376,20.1,2.5999999999999996,-999.0,0.0,-3.49,100.08,7.8,1,1,0,0,0,0,0,0,2010-10-25T14:42:25.920000Z,inf,-999.0
126,-999.0,-999,1,1,2381,16.0,0.7999999999999998,1.7999999999999998,1.0,-19.7,167.94,7.3,16,21,16,12,1,1,1,1,2010-12-25T13:16:36.479997Z,1.0788941335077287,inf
127,-999.0,-999,1,-1,2389,50.0,1.2000000000000002,-999.0,0.0,-6.06,147.59,7.2,2,3,3,2,0,2,2,0,1992-05-15T07:05:05.280004Z,0.08412197686637397,-999.0
128,-999.0,-999,1,1,2391,26.0,1.7999999999999998,0.8999999999999995,0.0,45.47,151.05,7.6,4,6,1,1,11,11,8,8,1991-12-22T08:43:09.119997Z,0.09045762512536783,0.8554452981662914
129,-999.0,-999,1,1,2409,20.0,1.4000000000000004,-999.0,0.0,16.5,-98.22,7.5,3,7,2,1,0,1,0,0,2012-03-20T18:02:44.160003Z,0.2610852443306239,-999.0
130,-999.0,-999,1,1,2413,31.0,0.9000000000000004,-999.0,3.0,-13.7,166.64,7.2,5,9,9,5,0,11,11,0,2010-05-27T17:14:47.040002Z,0.1412984194358668,-999.0
131,-999.0,-999,1,1,2416,35.0,1.0,-999.0,3.0,-12.52,166.38,7.8,13,17,3,3,0,1,1,0,2009-10-07T22:18:54.720004Z,0.2776365865221625,-999.0
132,-999.0,-999,1,1,2419,44.8,2.200000000000001,-999.0,1.0,-35.85,-72.71,8.8,18,31,0,0,0,1,0,0,2010-02-27T06:34:16.319997Z,0.5522980200102788,-999.0
133,0.9367135884187797,-999,1,1,2434,24.4,2.0,1.7999999999999998,2.0,38.32,142.37,9.1,66,110,1,1,11,19,1,1,2011-03-11T05:46:19.199996Z,1.3431970124067922,0.3938530283715535
134,-999.0,-999,3,3,2446,35.0,0.39999999999999947,0.39999999999999947,2.0,-5.93,150.59,7.3,9,21,17,7,2,2,2,2,2010-07-18T13:35:02.399999Z,0.34199856360695996,0.08225815075432005
135,-999.0,-999,1,1,2448,5.0,0.7999999999999998,-999.0,0.0,34.18,-116.51,7.3,4,6,4,4,0,1,1,0,1992-06-28T11:57:33.119998Z,0.38301702510289265,-999.0
136,-999.0,-999,1,1,2450,35.0,2.0,2.3,2.0,7.88,91.94,7.5,4,4,1,1,1,2,1,0,2010-06-12T19:26:49.920001Z,0.33212384898222774,inf
137,-999.0,-999,1,1,2454,25.0,1.3999999999999995,-999.0,0.0,-17.54,168.07,7.3,6,8,6,4,0,14,13,0,2010-08-10T05:23:42.719997Z,1.0122994381786472,-999.0
138,-999.0,-999,1,1,2459,33.0,1.2999999999999998,-999.0,1.0,-23.01,169.89,7.7,4,5,3,2,0,0,0,0,1995-05-16T20:12:46.079996Z,0.10011312783458175,-999.0
139,-999.0,-999,1,1,2487,10.0,1.8999999999999995,2.8,3.0,-8.46,157.04,8.1,9,9,2,2,1,1,0,0,2007-04-01T20:39:59.039998Z,0.337657855047362,inf
140,-999.0,-999,1,1,2494,10.0,2.8999999999999995,1.3999999999999995,2.0,46.24,154.52,8.1,1,2,1,0,5,5,2,2,2007-01-13T04:23:22.560001Z,inf,0.22409264886430513
141,-999.0,-999,1,1,2498,22.0,1.2999999999999998,-999.0,0.0,1.07,126.28,7.5,17,20,10,8,0,2,1,0,2007-01-21T11:27:44.639999Z,0.30905382263239417,-999.0
142,-999.0,-999,1,1,2521,30.0,1.6999999999999993,-999.0,1.0,2.09,97.11,8.6,8,20,2,1,0,1,0,0,2005-03-28T16:09:33.120002Z,0.1599075734228255,-999.0
143,-999.0,-999,1,1,2527,26.0,1.1999999999999993,-999.0,3.0,34.54,73.59,7.6,14,16,5,5,0,2,0,0,2005-10-08T03:50:41.280004Z,0.3188877196336964,-999.0
144,-999.0,-999,1,1,2544,55.0,2.0999999999999996,-999.0,3.0,-20.19,-174.12,8.0,8,9,0,0,0,7,1,0,2006-05-03T15:26:38.400001Z,0.26517813341039526,-999.0
145,-999.0,-999,1,1,2546,34.0,1.7000000000000002,-999.0,2.0,-9.25,107.41,7.7,6,6,3,3,0,0,0,0,2006-07-17T08:19:32.160000Z,3.116883116996214,-999.0
146,-999.0,-999,1,1,2575,29.4,0.9000000000000004,-999.0,3.0,51.36,-179.52,7.2,3,4,4,3,0,12,12,0,2007-12-19T09:30:23.040001Z,0.16022131904877956,-999.0
147,-999.0,-999,1,1,2585,33.0,0.6000000000000005,1.9000000000000004,3.0,-16.62,167.51,7.2,10,10,10,10,1,4,4,1,1994-07-13T02:35:57.119997Z,0.6091506612358489,inf
148,-999.0,-999,1,1,2591,33.0,0.8999999999999995,1.0,3.0,-20.07,168.89,7.3,15,16,14,13,3,7,7,3,2008-04-09T12:46:13.439996Z,0.2813124161919299,1.973424549516006
149,-999.0,-999,1,1,2599,33.0,1.2999999999999998,-999.0,0.0,40.45,143.49,7.7,5,9,3,2,0,1,1,0,1994-12-28T12:19:26.400000Z,0.21416578144881757,-999.0
150,-999.0,-999,1,1,2605,38.9,2.700000000000001,1.700000000000001,0.0,46.57,153.29,8.3,3,13,1,0,9,9,2,2,2006-11-15T11:14:21.119996Z,0.1424474368960664,0.5133587350844422
151,-999.0,-999,1,1,2635,35.0,0.9000000000000004,1.2000000000000002,1.0,-11.61,165.76,7.2,6,16,16,6,1,5,5,1,2007-09-02T01:05:13.920000Z,0.26799233541908213,inf
152,-999.0,-999,1,1,2640,33.0,1.0000000000000009,-999.0,3.0,43.71,147.33,8.3,16,35,2,1,0,2,0,0,1994-10-04T13:22:56.639995Z,0.3360836176034537,-999.0
153,-999.0,-999,1,1,2641,35.0,1.9000000000000004,-999.0,3.0,-2.62,100.84,7.9,8,16,4,2,0,0,0,0,2007-09-12T23:49:03.359999Z,0.16670174349211078,-999.0
154,-999.0,-999,4,1,2643,25.0,0.5,0.7000000000000002,3.0,-2.49,99.97,7.2,4,10,10,4,5,30,30,5,2008-02-25T08:36:31.679998Z,0.4257130693882344,1.0191394386776143
155,-999.0,-999,1,1,2644,34.0,1.7000000000000002,-999.0,0.0,-4.44,101.37,8.5,10,23,3,1,0,0,0,0,2007-09-12T11:10:27.840000Z,0.24041408922713758,-999.0
