,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
0,1,5.2,35.0016,44.182,29.8,2012-03-05T06:50:37.620005Z,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,1,0
1,2,5.0,35.3787,39.6237,17.0,1996-01-11T23:03:48.240004Z,1,0,1,0,-999.0,-999.0,-999.0,0.4,-999.0,inf,0,0,0,1,0,1
2,4,5.1,35.3745,45.1844,28.6,1999-01-15T19:14:12.329984Z,1,0,1,0,-999.0,-999.0,-999.0,0.6,-999.0,inf,0,0,0,1,0,1
3,6,4.9,39.4712,32.6353,11.8,1999-08-24T17:33:22.089979Z,0,1,0,1,0.5,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,0
4,22,5.0,37.216,44.154,23.6,2002-02-28T00:46:29.239971Z,0,1,0,1,0.9,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,0
5,74,4.9,39.8006,42.0171,24.0,1998-04-13T19:56:30.660030Z,0,1,1,1,0.6,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,1
6,116,4.9,35.1019,25.8309,19.2,1998-05-05T14:38:11.919980Z,0,1,0,1,1.0,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,0
7,151,5.0,38.6656,45.8127,2.1,2008-09-02T20:00:51.010017Z,0,1,0,1,1.2,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,0
8,161,4.9,37.9476,38.2331,5.0,2004-02-26T04:13:57.260010Z,1,1,1,1,1.1,-999.0,inf,1.1,-999.0,inf,0,0,1,1,1,1
9,192,5.7,40.4354,42.3783,14.4,1999-12-03T17:06:55.949960Z,0,5,1,5,1.2,-999.0,0.291197227123,-999.0,-999.0,-999.0,1,1,5,0,5,1
10,288,5.1,35.865,29.77,5.0,2001-10-30T21:00:05.410019Z,0,2,0,2,1.2,-999.0,0.0748364310761,-999.0,-999.0,-999.0,0,0,2,0,2,0
11,329,5.0,38.3655,45.2946,17.7,1998-11-18T11:37:20.739992Z,0,1,0,1,1.3,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,0
12,331,6.1,39.5211,40.1322,23.7,1995-12-05T18:52:41.020030Z,2,5,2,5,2.1,-999.0,0.357473801153,0.3,-999.0,0.0500745188822,2,2,0,1,0,1
13,355,5.7,35.5969,28.9489,56.7,2012-07-09T13:55:00.609976Z,0,0,2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,1
14,439,5.1,35.6607,31.5401,59.7,2005-05-14T23:46:48.309977Z,1,0,1,0,-999.0,-999.0,-999.0,1.6,-999.0,inf,0,0,0,1,0,1
15,455,5.3,42.6504,43.4989,23.5,2006-02-06T04:08:03.950017Z,0,39,0,83,0.8,1.117985795,0.69407278362,-999.0,-999.0,-999.0,1,1,39,0,83,0
16,458,5.0,37.177,35.283,10.0,2000-03-08T17:14:45.829970Z,2,0,2,0,-999.0,-999.0,-999.0,1.2,-999.0,54.397099826,0,0,0,2,0,2
17,470,5.1,35.8319,26.8617,14.1,2004-02-07T21:17:21.370041Z,0,1,2,1,1.6,-999.0,inf,-999.0,-999.0,-999.0,1,0,1,0,1,2
18,502,5.0,38.658,40.1155,11.0,1998-12-20T03:21:16.749995Z,1,1,2,1,1.1,-999.0,inf,1.5,-999.0,inf,2,0,1,1,1,2
19,552,5.3,35.7334,31.5347,51.7,2009-12-22T06:06:22.279993Z,0,1,0,1,1.9,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,0
20,647,4.9,39.5523,36.8505,6.0,1999-06-11T05:25:18.669970Z,0,4,0,4,0.2,-999.0,10.1041345767,-999.0,-999.0,-999.0,0,0,4,0,4,0
21,691,6.2,36.1028,27.0639,28.0,1996-07-20T00:00:43.849983Z,3,185,4,192,0.7,0.688765359212,3.53330203262,2.4,-999.0,0.081882299689,1,1,41,0,43,0
22,746,5.0,38.4288,45.4421,8.1,2013-04-18T10:39:39.019963Z,0,20,0,21,0.5,-999.0,0.361997305045,-999.0,-999.0,-999.0,1,1,20,0,21,0
23,750,5.0,35.3017,35.4401,10.0,2006-03-29T22:05:13.169964Z,0,1,0,1,1.7,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,0
24,833,5.8,36.7933,28.2046,12.0,1999-10-05T01:04:57.200044Z,2,2,2,2,2.4,-999.0,1.78820529559,0.4,-999.0,442.215192303,2,2,0,2,0,2
25,879,5.4,35.12,27.066,9.8,2000-06-13T01:43:14.690007Z,7,56,8,67,0.4,1.24720466598,1.0320981809,1.6,-999.0,0.166665495488,0,2,37,6,43,7
26,896,5.0,35.4361,27.2831,14.6,1997-05-09T18:41:01.769971Z,2,6,3,6,0.6,-999.0,0.481182358594,1.0,-999.0,0.0784097024011,1,1,6,2,6,3
27,910,5.2,35.384,27.747,11.0,2001-05-29T04:43:57.059964Z,11,5,21,5,1.3,-999.0,0.246406600347,0.1,-999.0,0.20619256633,0,2,5,11,5,21
28,954,5.2,39.9,42.295,10.0,2002-07-01T05:17:58.039992Z,0,2,0,2,1.8,-999.0,2.98731996772,-999.0,-999.0,-999.0,0,0,2,0,2,0
29,1042,5.4,36.3706,27.9168,68.1,1996-04-26T07:01:28.929991Z,1,1,1,1,2.2,-999.0,inf,1.7,-999.0,inf,0,0,0,1,0,1
30,1067,5.1,36.0921,45.0199,14.7,2017-08-23T13:42:54.459961Z,1,2,1,2,1.4,-999.0,0.263244692852,1.5,-999.0,inf,1,1,2,1,2,1
31,1122,4.9,35.4036,27.5144,18.1,2005-10-11T05:44:26.350025Z,0,3,0,3,1.2,-999.0,0.101405757657,-999.0,-999.0,-999.0,1,1,3,0,3,0
32,1157,5.0,37.8776,26.8352,24.0,1998-07-09T17:36:49.329963Z,0,2,0,2,1.2,-999.0,22.2081708806,-999.0,-999.0,-999.0,0,0,2,0,2,0
33,1163,5.1,38.3438,38.9459,11.7,1998-05-09T15:38:03.259965Z,0,3,0,3,1.3,-999.0,0.300244633354,-999.0,-999.0,-999.0,1,1,3,0,3,0
34,1165,4.9,37.4107,29.5697,19.5,2009-12-04T17:19:48.800033Z,0,1,0,1,1.7,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,0
35,1221,5.1,38.508,26.033,28.4,2000-06-29T14:15:26.500007Z,1,5,11,16,1.4,-999.0,0.0940842094493,1.7,-999.0,inf,1,1,5,1,16,11
36,1247,5.2,39.3185,41.1074,24.6,1998-04-13T15:14:34.740035Z,0,2,0,2,1.8,-999.0,0.335520481578,-999.0,-999.0,-999.0,0,0,2,0,2,0
37,1262,5.0,38.8199,29.0341,11.5,2017-04-21T13:09:21.980020Z,0,4,0,4,1.3,-999.0,14.0803238466,-999.0,-999.0,-999.0,1,1,4,0,4,0
38,1336,5.0,39.7727,41.7681,2.9,2006-03-21T11:29:05.990010Z,1,3,1,3,1.4,-999.0,7.50336522116,1.8,-999.0,inf,1,1,3,1,3,1
39,1506,4.9,35.2982,27.7683,26.8,2010-01-17T20:16:05.799995Z,5,13,9,13,1.0,-999.0,0.412011297273,1.1,-999.0,0.111688810565,1,1,13,5,13,9
40,1578,5.7,36.1954,35.9643,19.5,1997-01-22T17:57:22.400010Z,0,9,5,9,0.3,-999.0,10.5268672625,-999.0,-999.0,-999.0,0,0,6,0,6,2
41,1594,5.1,38.69,39.92,10.0,1996-10-17T21:48:34.200025Z,0,0,3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,0,0,0,0,3
42,1648,4.9,35.5633,31.2505,45.1,2015-08-18T21:19:43.570013Z,1,3,1,3,0.8,-999.0,0.244125402843,1.1,-999.0,inf,1,1,3,1,3,1
43,1700,4.9,38.8126,33.0716,7.9,2007-12-13T18:06:21.769977Z,0,5,0,5,1.7,-999.0,0.396415013499,-999.0,-999.0,-999.0,1,1,5,0,5,0
44,1707,5.3,42.0939,45.7945,13.6,2013-09-17T04:09:14.350028Z,0,3,0,3,1.5,-999.0,0.128328411737,-999.0,-999.0,-999.0,1,1,2,0,2,0
45,1797,5.6,38.541,25.593,32.0,2001-06-10T13:11:04.169961Z,8,100,9,112,1.4,1.01708309579,1.68866644635,1.5,-999.0,4.43428311485,1,1,15,4,19,4
46,1842,5.0,37.137,37.307,9.0,2002-08-23T04:10:34.420022Z,0,3,0,3,1.6,-999.0,4.69768017406,-999.0,-999.0,-999.0,1,1,3,0,3,0
47,1865,5.8,35.8479,29.6646,42.4,2005-01-23T22:36:07.389991Z,1,27,1,27,0.6,-999.0,0.832493375549,2.1,-999.0,inf,1,1,8,0,8,0
48,1930,5.1,39.7794,43.9676,5.0,2004-07-01T22:30:08.030021Z,0,18,0,19,0.2,-999.0,0.309535946266,-999.0,-999.0,-999.0,2,2,16,0,17,0
49,2042,5.3,41.9627,42.66,10.4,2011-01-19T09:17:49.539984Z,0,11,0,11,0.8,-999.0,2.91884137612,-999.0,-999.0,-999.0,1,1,10,0,10,0
50,2084,4.9,38.1273,38.9343,13.7,2010-09-17T10:17:09.059975Z,0,1,0,1,1.9,-999.0,inf,-999.0,-999.0,-999.0,0,0,1,0,1,0
51,2152,5.2,35.7133,26.5791,69.5,2015-03-27T23:34:54.309967Z,0,0,1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,0
52,2155,4.9,37.666,30.6386,10.6,2014-08-24T19:43:31.020043Z,0,6,0,6,1.1,-999.0,2.1625365654,-999.0,-999.0,-999.0,1,1,6,0,6,0
53,2203,5.0,35.9811,27.5352,21.4,2017-05-17T11:30:34.020029Z,0,0,6,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,0,0,0,0,6
54,2207,5.9,35.0286,32.3821,17.1,1995-02-23T21:03:04.359974Z,0,6,0,10,1.0,-999.0,0.232579966859,-999.0,-999.0,-999.0,1,1,5,0,8,0
55,2300,5.0,39.0296,41.4275,9.7,2013-09-17T20:40:51.670039Z,2,4,2,4,1.4,-999.0,0.242823523265,1.0,-999.0,5.34353883618,1,1,4,2,4,2
56,2319,5.1,38.4615,44.9154,7.9,2012-12-23T06:38:56.710027Z,1,3,1,3,0.9,-999.0,1.04754644373,1.3,-999.0,inf,1,1,2,1,2,1
57,2441,5.2,38.055,31.935,10.0,2000-01-17T22:19:57.389982Z,0,1,4,1,1.8,-999.0,inf,-999.0,-999.0,-999.0,1,0,1,0,1,3
58,2446,5.1,36.6359,26.2554,18.2,2007-08-31T20:52:42.690030Z,0,2,0,2,1.2,-999.0,2.40387223838,-999.0,-999.0,-999.0,0,0,1,0,1,0
59,2509,5.0,39.3296,40.9326,18.0,2006-07-02T19:39:41.560042Z,1,4,3,4,0.8,-999.0,0.247471659177,1.8,-999.0,inf,1,1,4,1,4,3
60,2646,4.9,40.2503,33.2121,10.0,2008-01-31T00:01:22.839975Z,0,4,0,4,1.7,-999.0,0.772775944266,-999.0,-999.0,-999.0,1,1,4,0,4,0
61,2673,4.9,39.142,26.968,8.0,1999-09-27T04:02:02.000029Z,0,0,1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,0
62,2715,6.2,36.9312,35.2796,37.9,1998-06-27T13:55:55.919975Z,0,45,0,46,0.8,0.727867846765,0.782674898473,-999.0,-999.0,-999.0,1,1,5,0,5,0
63,2742,5.4,37.193,36.225,10.0,2001-06-25T13:28:47.580035Z,0,5,0,8,1.7,-999.0,0.200782689966,-999.0,-999.0,-999.0,2,1,1,0,2,0
64,2765,5.2,38.0891,30.0481,16.9,1998-04-04T16:16:50.030024Z,3,3,3,3,2.2,-999.0,0.92615354701,1.1,-999.0,0.657275554867,1,1,0,2,0,2
65,2766,5.4,39.3756,38.1692,11.9,1999-04-06T00:08:25.760021Z,0,15,0,15,2.0,-999.0,0.799565914684,-999.0,-999.0,-999.0,1,1,0,0,0,0
66,2783,6.0,38.8442,25.7875,13.8,1997-11-14T21:38:52.620027Z,1,84,12,95,1.5,0.701552624613,1.41190524276,2.4,-999.0,inf,1,1,5,0,6,2
67,2794,5.1,37.8147,29.3865,16.1,1995-08-18T00:52:27.259966Z,0,21,0,21,0.7,-999.0,0.479942724293,-999.0,-999.0,-999.0,1,1,10,0,10,0
68,2796,5.2,40.829,27.8033,25.7,1995-04-13T04:08:03.969973Z,9,8,14,8,0.6,-999.0,0.7025284825,1.6,-999.0,0.173391384067,1,1,2,3,2,6
69,2858,5.2,38.0698,28.9836,12.8,1997-01-21T20:47:48.259994Z,2,41,3,42,1.1,1.24954903565,0.726656110898,2.2,-999.0,0.196792285741,1,1,12,0,12,0
70,2864,5.6,38.407,42.953,48.4,2000-11-15T15:05:36.620021Z,0,67,1,67,0.5,0.85960798486,2.37661458545,-999.0,-999.0,-999.0,1,1,17,0,17,0
71,2865,5.2,40.7102,27.594,13.4,1999-09-20T21:28:01.159972Z,1,15,1,15,1.6,-999.0,0.929803761879,1.9,-999.0,inf,1,1,5,1,5,1
72,2871,5.8,40.7182,35.2232,16.5,1996-08-14T01:55:05.690033Z,0,146,0,175,0.2,0.981532420401,2.54306074848,-999.0,-999.0,-999.0,0,2,25,0,30,0
73,2908,5.2,39.3374,27.8887,19.5,1999-07-25T06:56:55.759978Z,33,40,40,47,1.4,1.52384028738,0.708222263747,0.2,1.02736329052,0.638731540814,2,2,18,16,22,17
74,2932,5.4,37.8138,26.8666,14.0,1996-04-02T07:59:25.749978Z,7,62,7,62,1.3,1.10353515893,2.05044905441,1.4,-999.0,0.171480487052,1,1,12,4,12,4
75,2939,6.2,38.0378,30.1132,18.7,1995-10-01T15:57:16.530022Z,33,334,33,347,0.9,1.36714756791,5.65101836252,1.3,0.850547056546,3.11233145612,1,1,9,3,9,3
76,2948,6.0,40.7,32.982,10.0,2000-06-06T02:41:50.060026Z,6,76,37,94,1.0,0.956706684772,1.29991461332,2.5,-999.0,0.190937201104,1,1,4,0,8,2
77,2950,5.4,37.877,29.364,19.9,2000-04-21T12:23:09.019965Z,0,64,8,232,1.1,1.35584618741,1.13234074816,-999.0,-999.0,-999.0,2,1,9,0,20,1
78,2955,5.1,39.339,27.905,7.0,2001-06-22T11:54:50.780012Z,23,68,26,68,0.3,1.42666786326,1.13990828429,0.7,-999.0,0.68276998505,0,0,33,17,33,19
79,2957,5.4,39.806,41.64,22.5,2001-07-10T21:42:07.630014Z,8,6,8,6,2.1,-999.0,5.55315723466,0.5,-999.0,0.189655253118,1,1,0,3,0,3
80,2960,7.5,40.7968,29.9952,16.3,1999-08-17T00:01:40.629991Z,4,702,56,1255,1.6,1.03946377871,11.7716449013,4.2,-999.0,0.228280838544,2,1,3,0,6,0
81,2968,5.2,36.6752,27.2161,17.2,2011-05-08T06:50:24.320027Z,0,8,1,8,1.5,-999.0,53.6477272639,-999.0,-999.0,-999.0,1,1,4,0,4,1
82,2994,4.9,38.9876,42.3118,6.0,2011-02-22T09:08:17.200029Z,3,26,3,26,0.2,-999.0,1.67448770099,0.7,-999.0,44.0617747503,0,0,18,2,18,2
83,3069,5.2,37.2973,43.8663,12.8,2011-10-27T08:04:22.859964Z,0,21,0,21,0.7,-999.0,0.483708996124,-999.0,-999.0,-999.0,1,1,14,0,14,0
84,3078,4.9,42.5267,42.9856,10.2,2011-08-18T11:57:42.439964Z,0,12,0,12,0.7,-999.0,0.79952835849,-999.0,-999.0,-999.0,1,1,10,0,10,0
85,3088,5.1,40.8244,27.7474,12.2,2011-07-25T17:57:22.619985Z,0,9,0,9,1.5,-999.0,0.936954369599,-999.0,-999.0,-999.0,1,1,6,0,6,0
86,3104,5.3,38.5459,39.6111,9.9,2011-06-23T07:34:45.640042Z,0,28,2,28,1.2,-999.0,0.661924586619,-999.0,-999.0,-999.0,1,1,10,0,10,2
